Principales tenedores de títulos del tesoro americano en lo que se lleva del 2020
País	Julio	Junio	Mayo	Abril	Marzo	Febrero	Enero	
Japón	1261.5	1260.4	1266.5	1272.6	1268.6	1211.8	1155.2	
China	1074.4	1083.7	1072.8	1081.6	1092.3	1078.6	1069.9	
Reino Unido	445.6	445.8	429.2	469.7	477.1	450.3	392.1	
Irlanda	330.4	324.2	301.3	271.6	282.8	271.7	281.9	
Hong kong	266.4	269.0	259.4	256.0	268.4	253.0	249.7	
Brasil	264.1	264.4	259.5	264.4	285.9	283.3	281.8	
Luxemburgo	267.6	262.7	265.5	246.1	260.8	255.2	254.6	
Suiza	247.4	243.1	241.3	244.6	243.7	238.1	237.5	
Islas Caimán	222.0	216.7	213.1	209.4	228.2	225.1	238.2	
Bélgica	218.7	212.1	210.2	206.1	218.0	206.5	207.4	
Taiwán	204.6	199.2	201.7	205.0	201.9	199.2	193.1	
la India	182.7	169.9	157.4	156.5	177.5	164.3	162.0	
Singapur	150.5	142.1	146.1	151.5	165.4	160.7	147.9	
Canadá	127.5	129.9	136.3	131.5	148.3	157.9	143.3	
Francia	144.2	130.5	137.7	156.0	147.6	134.0	127.7	
Arabia Saudí	124.9	123.5	125.3	159.1	184.4	182.9	179.8	
Corea del Sur	122.7	117.3	120.0	110.8	116.1	121.1	121.9	
Noruega	89.5	87.6	93.2	98.0	103.3	97.7	90.1	
Tailandia	85.5	85.8	80.5	81.8	91.3	96.0	90.5	
Alemania	79.5	80.6	77.7	77.3	86.0	83.7	78.3	
los Países Bajos	69.4	67.9	66.2	69.1	70.9	67.7	65.1	
Bermudas	66.8	63.9	65.5	64.2	65.9	64.8	71.3	
Israel	47.6	46.8	43.2	41.1	45.1	45.6	43.1	
Kuwait	44.9	43.6	44.5	40.1	43.6	41.9	43.3	
México	47.0	47.4	45.4	40.9	47.5	45.8	45.3	
Filipinas	44.2	42.7	42.7	43.1	41.8	40.4	34.8	
Australia	41.9	43.5	44.8	46.3	43.7	45.1	41.8	
Italia	42.4	41.4	41.5	44.8	46.8	44.6	45.3	
Polonia	39.7	38.0	34.4	35.6	38.8	37.7	38.8	
España	44.0	47.3	44.0	43.8	46.2	43.9	50.4	
Suecia	39.1	37.1	36.5	39.5	45.4	45.0	48.7	
Chile	29.8	30.1	29.8	30.1	32.0	32.5	30.8	
Todos los demas	595.2	572.5	580.0	570.2	561.0	611.0	601.0	582.7	589.1	589.6	586.3	613.8	580.1	
