País en español;País en inglés
Afganistán;Afghanistan
Albania;Albania
Alemania;Germany
Andorra;Andorra
Angola;Angola
Antigua y Barbuda;Antigua and Barbuda
Arabia Saudí;Saudi Arabia
Argelia;Algeria
Argentina;Argentina
Armenia;Armenia
Australia;Australia
Austria;Austria
Azerbaiyán;Azerbaijan
Bahrein;Bahrain
Bangladesh;Bangladesh
Barbados;Barbados
Bélgica;Belgium
Belice;Belize
Benín;Benin
Bermudas;Bermuda
Bielorrusia;Belarus
Birmania;Burma
Bolivia;Bolivia
Bosnia y Herzegovina;Bosnia and Herzegovina
Botswana;Botswana
Brasil;Brazil
Brunei;Brunei
Bulgaria;Bulgaria
Burkina Faso;Burkina Faso
Burundi;Burundi
Bután;Bhutan
Camboya;Cambodia
Camerún;Cameroon
Canadá;Canada
el Chad;Chad
Chile;Chile
China;China, Mainland
Chipre;Cyprus
Ciudad del Vaticano;Vatican City
Colombia;Colombia
el Congo;Congo
Corea del Norte;North Korea
Corea del Sur;Korea
Costa de Marfil;Ivory Coast
Costa Rica;Costa Rica
Croacia;Croatia
Cuba;Cuba
Dinamarca;Denmark
Dominica;Dominica
Ecuador;Ecuador
Egipto;Egypt
El Salvador;El Salvador
Emiratos Árabes Unidos (EAU);United Arab Emirates
Eritrea;Eritrea
Escocia;Scotland
Eslovaquia;Slovakia
Eslovenia;Slovenia
España;Spain
Estonia;Estonia
Etiopía;Ethiopia
Filipinas;Philippines
Finlandia;Finland
Fiyi;Fiji
Francia;France
Gabón;Gabon
Gales;Wales
Gambia;Gambia
Georgia;Georgia
Ghana;Ghana
Gran Bretaña;Great Britain
Granada;Grenada
Grecia;Greece
Groenlandia;Greenland
Guatemala;Guatemala
Guinea;Guinea
Guinea Ecuatorial;Equatorial Guinea
Guinea-Bisáu;Guinea-Bissau
Guyana;Guyana
Haití;Haiti
Honduras;Honduras
Hong kong;Hong Kong
Hungría;Hungary
La India;India
Indonesia;Indonesia
Inglaterra;England
Irán;Iran
Iraq;Iraq
Irlanda;Ireland
Irlanda del Norte;Northern Ireland
Islandia;Iceland
Islas Caimán;Cayman Islands
Islas de Cabo Verde;Cape Verde Islands
Israel;Israel
Italia;Italy
Jamaica;Jamaica
Japón;Japan
Jordania;Jordan
Kazajstán;Kazakhstan
Kenia;Kenya
Kirguistán;Kyrgystan
Kiribati;Kiribati
Kosovo;Kosovo
Kuwait;Kuwait
Laos;Laos
las Bahamas;The Bahamas
las Comoras;Comoros
las Islas Feroe;The Faroe Islands
las Islas Marshall;The Marshall Islands
las Islas Salomón;The Solomon Islands
las Seychelles;The Seychelles
Lesotho;Lesotho
Letonia;Latvia
Liberia;Liberia
Libia;Libya
Liechtenstein;Liechtenstein
Lituania;Lithuania
Estados Unidos de América (EEUU);The Unites States of America (USA)
Países Bajos;Netherlands
Luxemburgo;Luxembourg
Líbano;Lebanon
Macao;Macao
Macedonia;Macedonia
Madagascar;Madagascar
Malasia;Malaysia
Malawi;Malawi
Maldivas;The Maldives
Malta;Malta
Malí;Mali
Marruecos;Morocco
Mauricio;Mauritius
Mauritania;Mauritania
México;Mexico
Micronesia;Micronesia
Moldavia;Moldova
Mónaco;Monaco
Mongolia;Mongolia
Montenegro;Montenegro
Mozanbique;Mozambique
Namibia;Namibia
Nauru;Nauru
Nepal;Nepal
Nicaragua;Nicaragua
Nigeria;Nigeria
Noruega;Norway
Nueva Zelanda;New Zealand
Níger;Niger
Omán;Oman
Pakistán;Pakistan
Palau;Palau
Palestina;Palestine
Panamá;Panama
Papua Nueva Guinea;Papua New Guinea
Paraguay;Paraguay
Perú;Peru
Polonia;Poland
Portugal;Portugal
Puerto Rico;Puerto Rico
Qatar;Qatar
Reino Unido;United Kingdom
República Centroafricana;The Central African Republic
República Checa;The Czech Republic
República Democrática del Congo;The Democratic Republic of Congo
República Dominicana;The Dominican Republic
Ruanda;Rwanda
Rumanía;Romania
Rusia;Russia
Samoa;Samoa
San Cristóbal y Nieves;St Kitts and Nevis
San Marino;San Marino
San Vicente y las Granadinas;St Vincent and the Grenadines
Santa Lucía;St Lucia
Santo Tomé y Príncipe;São Tomé and Príncipe
Senegal;Senegal
Serbia;Serbia
Sierra Leona;Sierra Leone
Singapur;Singapore
Siria;Syria
Somalia;Somalia
Sri Lanka;Sri Lanka
Sudáfrica;South Africa
Sudán;Sudan
Suecia;Sweden
Suiza;Switzerland
Surinam;Suriname
Swazilandia;Swaziland
Tailandia;Thailand
Taiwán;Taiwan
Tanzania;Tanzania
Tayikistán;Tajikistan o Tadzhikstan
Timor Oriental;East Timor oder Timor-Leste
Togo;Togo
Tonga;Tonga
Trinidad y Tobago;Trinidad and Tobago
Túnez;Tunisia
Turkmenistán;Turkmenistan
Turquía;Turkey
Tuvalu;Tuvalu
el Tíbet;Tibet
Ucrania;Ukaraine
Uganda;Uganda
Uruguay;Uruguay
Uzbekistán;Uzbekistan
Vanuatu;Vanuatu
Venezuela;Venezuela
Vietnam;Vietnam
Yemen;Yemen
Yibuti;Djibouti
Zambia;Zambia
Zimbabue;Zimbabwe
