,Sep,Aug,Jul,Jun,May,Apr,Mar,Feb,Jan,Dec,Nov,Oct
Country,2020,2020,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019
,------,------,------,------,------,------,------,------,------,------,------,------
Japan,1276.2,1278.4,1293.0,1261.5,1260.4,1266.5,1272.6,1268.6,1211.8,1155.2,1160.6,1168.5
"China, Mainland",1061.7,1068.0,1073.4,1074.4,1083.7,1072.8,1081.6,1092.3,1078.6,1069.9,1089.1,1101.5
United Kingdom,428.9,419.9,424.7,445.6,445.8,429.2,469.7,477.1,450.3,392.1,400.5,412.7
Ireland,315.8,335.3,330.8,330.3,324.2,301.3,271.6,282.8,271.7,281.9,289.7,285.4
Brazil,265.1,265.0,265.7,264.1,264.4,259.5,264.4,285.9,283.3,281.8,293.3,298.5
Luxembourg,262.5,268.8,264.7,267.6,262.7,265.5,246.1,260.8,255.2,254.6,261.9,263.0
Switzerland,255.3,253.1,250.7,247.4,243.1,241.3,244.6,243.7,238.1,237.5,233.4,233.2
Hong Kong,245.5,250.9,267.1,266.4,269.0,259.4,256.0,268.4,253.0,249.7,249.7,243.6
Cayman Islands,231.6,228.9,222.3,224.0,216.7,213.0,209.4,228.2,225.1,238.2,234.2,236.8
Belgium,218.1,215.0,211.9,218.7,212.1,210.2,206.1,218.0,206.5,207.4,202.4,205.6
Taiwan,213.5,212.0,209.7,204.6,199.2,201.7,205.0,201.9,199.2,193.1,188.6,191.2
India,213.5,196.5,194.6,182.7,169.9,157.4,156.5,177.5,164.3,162.0,159.2,161.4
Singapore,159.0,160.3,158.6,150.5,142.1,146.1,151.5,165.4,160.7,147.9,150.6,138.8
France,135.4,133.6,130.3,144.2,130.5,137.7,156.0,147.6,134.0,127.7,123.0,133.4
Saudi Arabia,131.2,130.0,124.6,124.9,123.5,125.3,159.1,184.4,182.9,179.8,179.7,178.9
Canada,128.0,131.0,133.9,127.5,129.9,136.3,131.5,148.3,157.9,143.3,155.2,157.1
Korea,123.2,122.7,123.1,122.7,117.3,120.0,110.8,116.1,121.1,121.9,117.2,117.1
Norway,91.3,91.4,90.6,89.5,87.6,93.2,98.0,103.3,97.7,90.1,96.0,100.3
Thailand,83.2,85.7,87.9,85.5,85.8,80.5,81.8,91.3,96.0,90.5,91.2,95.2
Germany,74.8,78.9,78.3,79.5,80.6,77.7,77.3,86.0,83.7,78.3,79.9,84.0
Bermuda,73.6,70.9,66.6,66.8,63.9,65.5,64.2,65.9,64.8,71.3,68.2,65.4
Netherlands,69.2,68.5,71.2,69.4,67.9,66.2,69.1,70.9,67.7,65.1,62.2,61.7
Israel,51.5,47.7,48.4,47.6,46.8,43.2,41.1,45.1,45.6,43.1,45.6,45.4
Mexico,49.2,49.5,47.6,47.0,47.4,45.4,40.9,47.5,45.8,45.3,49.1,49.1
Philippines,46.7,47.6,43.8,44.2,42.7,42.7,43.1,41.8,40.4,34.8,37.4,34.6
Kuwait,46.6,46.4,47.9,44.9,43.6,44.5,40.1,43.6,41.9,43.3,43.0,43.8
Poland,44.1,43.8,42.5,39.7,38.0,34.4,35.6,38.8,37.7,38.8,38.5,35.7
Italy,44.0,43.5,42.6,42.4,41.4,41.5,44.8,46.8,44.6,45.3,45.7,47.1
Spain,41.3,41.3,41.9,44.0,47.3,44.0,43.8,46.2,43.9,50.4,44.4,45.6
Australia,38.3,41.6,42.8,41.9,43.5,44.8,46.3,43.7,45.1,41.8,44.6,45.4
Sweden,38.2,38.3,40.0,39.1,37.1,36.5,39.5,45.4,45.0,48.7,49.5,46.9
United Arab Emirates,33.1,36.6,29.5,26.1,27.9,26.3,28.0,37.3,39.8,40.7,39.9,38.4
Vietnam,30.4,30.1,29.9,30.3,30.3,29.6,30.7,31.0,30.3,30.5,29.9,29.2
All Other,551.1,551.8,566.1,551.5,551.8,544.1,532.4,574.8,563.4,542.3,548.7,551.8
Grand Total,7071.0,7083.2,7097.0,7046.6,6978.0,6903.4,6949.5,7226.2,7027.3,6844.2,6902.1,6946.4
