Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
United States of America,Americas,26547977,80204.73,871365,129961,455735,1376.83,22562,3549,Community transmission
India,South-East Asia,10826363,7845.17,80180,12059,154996,112.32,722,78,Clusters of cases
Brazil,Americas,9447165,44444.82,328652,50872,230034,1082.21,7368,1239,Community transmission
Russian Federation,Europe,3967281,27185.36,116842,16048,76661,525.31,3479,432,Clusters of cases
The United Kingdom,Europe,3929839,57888.79,133747,18262,112092,1651.18,6521,828,Community transmission
France,Europe,3262505,49982.07,136154,20586,78389,1200.93,2923,191,Community transmission
Spain,Europe,2913425,62312.88,82192,0,60802,1300.44,1202,0,Community transmission
Italy,Europe,2625098,43417.44,83315,13439,91003,1505.13,2724,385,Clusters of cases
Turkey,Europe,2524786,29936.14,53885,7897,26685,316.4,820,108,Community transmission
Germany,Europe,2284010,27260.71,67647,8616,61517,734.23,4572,231,Community transmission
Colombia,Americas,2142660,42109.64,65027,7248,55403,1088.83,2119,272,Community transmission
Argentina,Americas,1970009,43588.35,54647,8374,48985,1083.84,1210,285,Community transmission
Mexico,Americas,1912871,14836.19,70978,13051,164290,1274.23,7711,1368,Community transmission
Poland,Europe,1550255,40961.53,36870,4725,39087,1032.77,1907,93,Community transmission
South Africa,Africa,1473700,24847.96,24464,3184,46180,778.64,2229,278,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1459370,17374.91,47639,6983,58412,695.44,523,76,Community transmission
Ukraine,Europe,1244849,28464.26,25394,3370,23597,539.56,890,81,Community transmission
Peru,Americas,1173045,35577.16,47170,7993,41933,1271.78,1247,180,Community transmission
Indonesia,South-East Asia,1147010,4193.46,80697,12156,31393,114.77,1665,191,Community transmission
Czechia,Europe,1034975,96645.52,50201,4863,17235,1609.4,927,106,Community transmission
Netherlands,Europe,1001826,58467.08,27249,4130,14355,837.77,400,61,Community transmission
Canada,Americas,797756,21137,26963,4022,20609,546.05,808,96,Community transmission
Portugal,Europe,761906,74720.78,50888,6132,13954,1368.48,1775,214,Clusters of cases
Chile,Americas,748082,39133.4,25182,4063,18895,988.43,556,87,Community transmission
Romania,Europe,743343,38639.93,16425,2611,18809,977.72,545,61,Community transmission
Belgium,Europe,723870,62458.46,12650,0,21352,1842.34,238,0,Community transmission
Israel,Europe,645590,74586.96,8348,0,4806,555.25,84,0,Community transmission
Iraq,Eastern Mediterranean,627416,15598.64,8494,1660,13111,325.96,70,8,Community transmission
Sweden,Europe,588062,58228.2,16892,0,12115,1199.59,69,0,Community transmission
Pakistan,Eastern Mediterranean,553128,2504.06,9914,1286,11914,53.94,291,28,Community transmission
Bangladesh,South-East Asia,537770,3265.36,3000,305,8190,49.73,79,8,Community transmission
Philippines,Western Pacific,535521,4886.98,12005,1934,11110,101.39,441,52,Community transmission
Switzerland,Europe,529285,61156.34,7134,0,8822,1019.34,91,0,Community transmission
Morocco,Eastern Mediterranean,474966,12868.02,4275,587,8381,227.06,122,13,Clusters of cases
Austria,Europe,419307,46556.57,9415,1437,7884,875.38,248,21,Community transmission
Serbia,Europe,406352,58352.35,12455,1684,4112,590.49,112,13,Community transmission
Japan,Western Pacific,403435,3189.8,16693,2080,6338,50.11,684,95,Clusters of cases
Hungary,Europe,376495,38973.22,8909,1370,13090,1355.02,566,64,Community transmission
Saudi Arabia,Eastern Mediterranean,369961,10626.83,2148,386,6397,183.75,25,4,Sporadic cases
Jordan,Eastern Mediterranean,333855,32720.83,8181,865,4369,428.2,65,7,Community transmission
Panama,Americas,325487,75435.59,7234,998,5426,1257.54,205,35,Community transmission
United Arab Emirates,Eastern Mediterranean,323402,32698.57,22741,3276,914,92.41,76,12,Community transmission
Lebanon,Eastern Mediterranean,317836,46566.34,18923,2496,3562,521.87,531,67,Community transmission
Nepal,South-East Asia,271806,9328.61,952,99,2035,69.84,8,0,Clusters of cases
Slovakia,Europe,263326,48231.37,13413,1552,5199,952.26,557,64,Clusters of cases
Georgia,Europe,262024,65683.89,3913,404,3283,822.98,105,14,Community transmission
Ecuador,Americas,257115,14573.16,7336,1703,15004,850.42,153,22,Community transmission
Belarus,Europe,256959,27193.38,10389,1787,1773,187.63,65,9,Community transmission
Kazakhstan,Europe,243407,12963.24,7563,0,3126,166.48,0,0,Clusters of cases
Malaysia,Western Pacific,238721,7375.67,29060,3847,857,26.48,111,12,Clusters of cases
Croatia,Europe,235402,57341.46,2976,276,5169,1259.11,142,25,Community transmission
Azerbaijan,Europe,231022,22785.08,956,115,3156,311.27,30,3,Clusters of cases
Bolivia (Plurinational State of),Americas,225910,19353.17,12518,1676,10687,915.53,461,54,Community transmission
Bulgaria,Europe,223552,32172.95,4934,493,9311,1340.01,283,9,Clusters of cases
Dominican Republic,Americas,222148,20478.41,9595,1722,2801,258.21,155,28,Community transmission
Tunisia,Eastern Mediterranean,216176,18291.14,8708,1064,7162,605.99,482,63,Community transmission
Ireland,Europe,202548,41020,7245,785,3674,744.06,382,53,Community transmission
Denmark,Europe,201186,34733.94,3091,413,2215,382.41,109,14,Community transmission
Costa Rica,Americas,196438,38561.73,3162,446,2672,524.53,68,10,Community transmission
Lithuania,Europe,186770,68607.7,4231,492,2937,1078.87,134,10,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,182541,35782.43,4025,470,2058,403.42,48,3,Community transmission
Slovenia,Europe,173702,83553.24,7229,501,3892,1872.11,140,14,Clusters of cases
Kuwait,Eastern Mediterranean,170036,39815.75,5414,846,964,225.73,5,0,Community transmission
